Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,PeerGroup,OptimiserCategory,Type,IRDuration,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,,Citicode,LastPrice,MarketCap,Exchange,ShortSell%,Date,Basic EPS,Total Revenues,Dividend per Share - Net,Total Assets,Total Liabilities,Growth of Net Income (%),Growth of Net Sales (%),Growth of Free Cash Flow (%),Return on Total Equity (%),Payout Ratio,Total Debt / Total Assets,Net Profit Margin (%),Interest Cover (EBIT)
IOZ-AU,,iShares Core S&P/ASX 200 ETF,Growth,Australian Shares,Australian Shares,Australian Shares,ETF Index,Core,,,,,,Australia Large Blend Equity,Australian Equities,ETF,,,,,,,,,,G1ED,,,,,,,,,,,,,,,,,,
VGS-AU,,Vanguard MSCI Index International Shares ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,AUD,,,,,World Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,,MQVY,,,,,,,,,,,,,,,,,,
VGAD-AU,,Vanguard MSCI Index International Shares (hedged) ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,Local,,,,,World Currency Hedged Equity,International Equities - Hedged,ETF,,,,,,,,,,M7YI,,,,,,,,,,,,,,,,,,
IVV-AU,,iShares S&P 500 ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,US,AUD,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49D,,,,,,,,,,,,,,,,,,
IHVV-AU,,iShares S&P 500 AUD Hedged ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,US,USD,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,,NSHL,,,,,,,,,,,,,,,,,,
IEU-AU,,iShares Europe ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Europe,AUD,,,,,Europe Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49G,,,,,,,,,,,,,,,,,,
VEQ-AU,,Vanguard FTSE Europe Shares ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Europe,AUD,,,,,Europe Equity,International Equities - Unhedged,ETF,,,,,,,,,,MWZQ,,,,,,,,,,,,,,,,,,
IJP-AU,,iShares MSCI Japan ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Japan,AUD,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49L,,,,,,,,,,,,,,,,,,
IEM-AU,,iShares MSCI Emerging Markets ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Emerging,AUD,,,,,Emerging Markets Equity,International Equities - Emerging,ETF,,,,,,,,,,K49J,,,,,,,,,,,,,,,,,,
IZZ-AU,,iShares China Large-Cap ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Emerging,AUD,,,,,Asia Pacific ex Japan Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49C,,,,,,,,,,,,,,,,,,
WVOL-AU,,iShares Edge MSCI World Min Vol ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,AUD,,,,,World Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,,NSHQ,,,,,,,,,,,,,,,,,,
IVE-AU,,iShares MSCI EAFE ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed EX us,AUD,,,,,World ex US Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49I,,,,,,,,,,,,,,,,,,
IKO-AU,,iShares MSCI South Korea ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Korea,AUD,,,,,South Korea Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49N,,,,,,,,,,,,,,,,,,
VBLD-AU,,Vanguard Global Infrastructure Index ETF,Growth,Real Assets,Alternatives,Alternatives (Growth),ETF Index,,,,,,,Global Infrastructure,Global Unlisted Infrastructure,ETF,,,,,,,,,,PPY2,,,,,,,,,,,,,,,,,,
IAF-AU,,iShares Core Composite Bond ETF,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,,,,,Australian Bonds,Australian Fixed Interest,ETF,5.8,,,,,,,,,G1EH,,,,,,,,,,,,,,,,,,
ILB-AU,,iShares Government Inflation ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,,,,,Inflation linked Bonds,Inflation Linked Government Bonds,ETF,6.7,,,,,,,,,G1EI,,,,,,,,,,,,,,,,,,
FLOT-AU,,VanEck Australian Floating Rate ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,,,,,Diversified Credit,Floating High Yield Credit,ETF,0.15,,,,,,,,,O64U,,,,,,,,,,,,,,,,,,
BHYB-AU,,BetaShares Australian Major Bank Hybrids Index ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,,,,,Global Bonds ,International Fixed Interest,ETF,0.2,,,,,,,,,WCIX,,,,,,,,,,,,,,,,,,
VBND-AU,,Vanguard Global Agg Bond Index (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,,,,,Global Bonds ,International Fixed Interest,ETF,8.2,,,,,,,,,O8LC,,,,,,,,,,,,,,,,,,
AESG-AU,,iShares Global Aggregate Bond ESG (AUD Hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,,,,,Global Bonds ,International Fixed Interest,ETF,8.1,,,,,,,,,YNPV,,,,,,,,,,,,,,,,,,
IGB-AU,,iShares Treasury ETF,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,,,,,Australian Bonds,Australian Fixed Interest,ETF,7.8,,,,,,,,,G1EJ,,,,,,,,,,,,,,,,,,
IHCB-AU,,iShares Core Global Corporate Bond (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,,,,,Diversified Credit,Floating High Yield Credit,ETF,6.1,,,,,,,,,MXCD,,,,,,,,,,,,,,,,,,
IHHY-AU,,iShares Global High Yield Bond (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,,,,,Yield Credit Equity,Floating High Yield Credit,ETF,5.2,,,,,,,,,MXCE,,,,,,,,,,,,,,,,,,
IHEB-AU,,iShares USD EM Bond (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,,,,,Global Bonds ,International Fixed Interest,ETF,4.5,,,,,,,,,NSHM,,,,,,,,,,,,,,,,,,
ISEC-AU,,iShares Enhanced Cash ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,,,,,Domestic Cash,Cash,ETF,0.3,,,,,,,,,O0HC,,,,,,,,,,,,,,,,,,
BILL-AU,,iShares Core Cash ETF,Defensive,Cash,Cash,Cash,ETF Index,,,,,,,Domestic Cash,Cash,ETF,0.15,,,,,,,,,O0HD,,,,,,,,,,,,,,,,,,
AUD,,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,,,,,,,Domestic Cash,Cash,ASXStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOW2217AU,,Merlon Concentrated Australian Share Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,,PJL7,,,,,,,,,,,,,,,,,,
SCH0101AU,,Schroder Australian Equity Fund W Class,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,,EOU3,,,,,,,,,,,,,,,,,,
AAP5529AU,,Ausbil Australian SmallCap Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF,,,,,,,,,,R2JU,,,,,,,,,,,,,,,,,,
CNA0812AU,,Invesco Wholesale Australian Smaller Companies,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF,,,,,,,,,,LXV5,,,,,,,,,,,,,,,,,,
ALR2783AU,,Australian Eagle Trust,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,,P9IY,,,,,,,,,,,,,,,,,,
HOW0035AU,,Greencape High Conviction Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Large Growth Equity,Australian Equities,MF,,,,,,,,,,L1M8,,,,,,,,,,,,,,,,,,
PIM0028AU,,DNR Capital Australian Equities High Conviction Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,,MFGP,,,,,,,,,,,,,,,,,,
DDH0002AU,,DDH Selector Australian Equities,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Mid Small Growth Equity,Australian Equities - Small Cap,MF,,,,,,,,,,LQC5,,,,,,,,,,,,,,,,,,
ANT0002AU,,Fairview Equity Partners Emerging Companies Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Mid Small Growth Equity,Australian Equities - Small Cap,MF,,,,,,,,,,L9O8,,,,,,,,,,,,,,,,,,
RFA0818AU,,Pendal Australian Share Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,,LTD7,,,,,,,,,,,,,,,,,,
ASX6124AU,,Auscap Long Short Australian Equities,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Long Short Equity,Australian Equities,MF,,,,,,,,,,PWZ6,,,,,,,,,,,,,,,,,,
VAE-AU,,Vanguard FTSE Asia ex Japan Shares Index ETF,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,Asia Pacific ex Japan Equity,International Equities - Unhedged,ETF,,,,,,,,,,MYBH,,,,,,,,,,,,,,,,,,
ETL7377AU,,GQG Partners Global Equity Fund - A Class,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,World Large Growth Equity,International Equities - Unhedged,MF,,,,,,,,,,Q62M,,,,,,,,,,,,,,,,,,
HOW6479AU,,Ox Capital Dynamic Emerging Markets Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,Emerging Markets Equity,International Equities - Emerging,MF,,,,,,,,,,DYWK,,,,,,,,,,,,,,,,,,
GSF6910AU,,Man GLG Asia Opportunitie,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,Asia Pacific ex Japan Equity,International Equities - Unhedged,MF,,,,,,,,,,STSP,,,,,,,,,,,,,,,,,,
PIM7802AU,,Fairlight Global Small & Mid Cap Fund (SMID) Class A,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,World Mid Small Equity,International Equities - Small Cap,MF,,,,,,,,,,Q2PQ,,,,,,,,,,,,,,,,,,
MAQ0633AU,,Macquarie True Index International Equities,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,World Large Blend Equity,International Equities - Unhedged,MF,,,,,,,,,,LSN5,,,,,,,,,,,,,,,,,,
AAP8285AU,,Ausbil Global SmallCap Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,World Mid Small Equity,International Equities - Small Cap,MF,,,,,,,,,,PHP8,,,,,,,,,,,,,,,,,,
FRT0009AU,,Franklin Global Growth Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,World Large Growth Equity,International Equities - Unhedged,MF,,,,,,,,,,06RO,,,,,,,,,,,,,,,,,,
MUA0002AU,,Munro Global Growth Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,World Other Equity,International Equities - Unhedged,MF,,,,,,,,,,NCYH,,,,,,,,,,,,,,,,,,
SWI1413AU,,WCM Quality Global Growth Fund (Managed Fund) Class A (Unhedged),Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,World Large Growth Equity,International Equities - Unhedged,MF,,,,,,,,,,QG7W,,,,,,,,,,,,,,,,,,
ETL0483AU,,Pzena Emerging Markets Value Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,Emerging Markets Equity,International Equities - Emerging,MF,,,,,,,,,,DNSP,,,,,,,,,,,,,,,,,,
ETL4207AU,,GQG Partners Emerging Markets Equity Fund - A Class,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,Emerging Markets Equity,International Equities - Emerging,MF,,,,,,,,,,Q62L,,,,,,,,,,,,,,,,,,
ETL0171AU,,AXA IM Sustainable Equity Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,,,,,World Large Blend Equity,International Equities - Unhedged,MF,,,,,,,,,,E2KF,,,,,,,,,,,,,,,,,,
BLK4709AU,,BlackRock iShares WholeSale Australian Listed Property Index,Growth,Real Assets,Alternatives,Alternatives (Growth),Passive,,,,,,,Australia Real Estate Equity,AREITs,MF,,,,,,,,,,CSRF,,,,,,,,,,,,,,,,,,
BLK9419AU,,BlackRock iShares Global Listed Property Index,Growth,Real Assets,Alternatives,Alternatives (Growth),Passive,,,,,,,Global Real Estate,GREITs,MF,,,,,,,,,,WSQP,,,,,,,,,,,,,,,,,,
LAM0044AU,,Alceon Australian Property,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,,,,,Direct Property,Australian Direct Property,MF,,,,,,,,,,MQWT,,,,,,,,,,,,,,,,,,
GTU5547AU,,Invesco Global Real Estate Fund - Class A,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,,,,,Direct Property,Australian Direct Property,MF,,,,,,,,,,QMZ8,,,,,,,,,,,,,,,,,,
TGP0016AU,,ClearBridge RARE Infrastructure Income Fund - Hedged,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,,,,,Global Infrastructure - Currency Hedged,Global Listed Infrastructure - hedged,MF,,,,,,,,,,07EN,,,,,,,,,,,,,,,,,,
GPEQ-AU,,VanEck Global Listed Private Equity ETF,Growth,Alternatives,Alternatives,Alternatives (Growth),Active Manager,,,,,,,Alternatives - Growth Illiquid,Alternatives - Growth Illiquid,ETF,,,,,,,,,,T4VJ,,,,,,,,,,,,,,,,,,
AUS0035AU,,Talaria Global Equity (Managed Fund),Growth,Alternatives,Alternatives,Alternatives (Growth),Active Manager,,,,,,,World Other Equity,International Equities - Unhedged,MF,,,,,,,,,,LBL2,,,,,,,,,,,,,,,,,,
EQI4297AU,,abrdn Global Risk Mitigation Fund,Growth,Alternatives,Alternatives,Alternatives (Growth),Active Manager,,,,,,,Alternatives - Defensive Liquid,Alternatives - Defensive Liquid,MF,,,,,,,,,,VQJP,,,,,,,,,,,,,,,,,,
MAQ5143AU,,P/E Global FX Alpha Fund,Growth,Alternatives,Alternatives,Alternatives (Growth),Active Manager,,,,,,,Alternatives - Defensive Liquid,Alternatives - Defensive Liquid,MF,,,,,,,,,,NU4K,,,,,,,,,,,,,,,,,,
SCH0038AU,,Schroder Specialist Private Equity Fund,Growth,Alternatives,Alternatives,Alternatives (Growth),Active Manager,,,,,,,Alternatives - Growth Illiquid,Alternatives - Growth Illiquid,MF,,,,,,,,,,D0IE,,,,,,,,,,,,,,,,,,
ETL2119AU,,LGT Capital Multi-Alternatives Australia,Growth,Alternatives,Alternatives,Alternatives (Defensive),Active Manager,,,,,,,Alternatives - Growth Illiquid,Alternatives - Growth Illiquid,MF,,,,,,,,,,DHCC,,,,,,,,,,,,,,,,,,
PIM1038AU,,Ruffer Total Return International - Australia Fund,Growth,Alternatives,Alternatives,Alternatives (Defensive),Active Manager,,,,,,,Alternatives - Defensive Liquid,Alternatives - Defensive Liquid,MF,,,,,,,,,,LK5Q,,,,,,,,,,,,,,,,,,
CNA0805AU,,Invesco Wholesale Senior Secured Income Fund,Growth,Alternatives,Alternatives,Alternatives (Defensive),Active Manager,,,,,,,Alternatives - Defensive illiquid,Alternatives - Defensive Illiquid,MF,,,,,,,,,,LXU7,,,,,,,,,,,,,,,,,,
PER0728AU,,BMO Pyrford Global Absolute Return,Growth,Alternatives,Alternatives,Alternatives (Defensive),Active Manager,,,,,,,Diversified Flexible,Balance,MF,,,,,,,,,,M4CJ,,,,,,,,,,,,,,,,,,
WHT5134AU,,Firetrail Absolute Return Fund - Class A,Growth,Alternatives,Alternatives,Alternatives (Growth),Active Manager,,,,,,,Alternatives - Defensive Liquid,Alternatives - Defensive Liquid,MF,,,,,,,,,,P2P2,,,,,,,,,,,,,,,,,,
SSB0122AU,,Western Asset Australian Bond Fund - Class A,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,,,,,Australian Bonds,Australian Fixed Interest,MF,,,,,,,,,,N3D5,,,,,,,,,,,,,,,,,,
ETL5525AU,,Colchester Global Government Bond Fund Class I,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,,,,,Global Bonds ,International Fixed Interest,MF,,,,,,,,,,NRLJ,,,,,,,,,,,,,,,,,,
FRT0027AU,,Franklin Australian Absolute Return Bond Fund — W Class,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,,,,,Global Bonds ,International Fixed Interest,MF,,,,,,,,,,M2MZ,,,,,,,,,,,,,,,,,,
ETL0018AU,,PIMCO Global Bond Fund — Wholesale Class,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,,,,,Global Bonds ,International Fixed Interest,MF,,,,,,,,,,09X2,,,,,,,,,,,,,,,,,,
ETL0019AU,,PIMCO Global Credit Fund — Wholesale Class,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,,,,,Diversified Credit,Floating High Yield Credit,MF,,,,,,,,,,09X4,,,,,,,,,,,,,,,,,,
CIM0008AU,,Capital Group New Perspective Fund Hedged (AU),Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,,,,,World Currency Hedged Equity,International Equities - Hedged,MF,,,,,,,,,,MWDC,,,,,,,,,,,,,,,,,,
IOF0127AU,,Janus Henderson Diversified Credit Fund,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,,,,,Diversified Credit,Floating High Yield Credit,MF,,,,,,,,,,I80V,,,,,,,,,,,,,,,,,,
WPC1963AU,,Daintree Core Income Trust,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,,,,,Global Bonds ,International Fixed Interest,MF,,,,,,,,,,O0NZ,,,,,,,,,,,,,,,,,,
CSA0038AU,,Bentham Global Income Fund,Defensive,Floating Rate,Global Fixed Interest,Global Fixed Interest,Active Manager,,,,,,,Global Bonds ,International Fixed Interest,MF,,,,,,,,,,L1O7,,,,,,,,,,,,,,,,,,
JBW4379AU,,Yarra Absolute Credit Fund,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,,,,,Diversified Credit,Floating High Yield Credit,MF,,,,,,,,,,TGYL,,,,,,,,,,,,,,,,,,
HOW0098AU,,Ardea Real Outcome Fund,Defensive,Floating Rate,Global Fixed Interest,Global Fixed Interest,Active Manager,,,,,,,Global Bonds ,International Fixed Interest,MF,,,,,,,,,,GMLG,,,,,,,,,,,,,,,,,,
IOF0145AU,,Janus Henderson Tactical Income Fund,Defensive,Floating Rate,Global Fixed Interest,Global Fixed Interest,Active Manager,,,,,,,Australian Bonds,Australian Fixed Interest,MF,,,,,,,,,,LFL1,,,,,,,,,,,,,,,,,,
HOW0052AU,,Kapstream Absolute Return Income Fund,Defensive,Floating Rate,Global Fixed Interest,Global Fixed Interest,Active Manager,,,,,,,Global Bonds ,International Fixed Interest,MF,,,,,,,,,,L1N5,,,,,,,,,,,,,,,,,,
OMF0005AU,,Alexander Credit Opportunities Fund,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,,,,,Diversified Credit,Floating High Yield Credit,MF,,,,,,,,,,M1WA,,,,,,,,,,,,,,,,,,
OMF0018AU,,Realm High Income,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,,,,,Diversified Credit,Floating High Yield Credit,MF,,,,,,,,,,NFZV,,,,,,,,,,,,,,,,,,
SAI0004AU,,Arrow Primary Infrastructure Fund ,Defensive,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM8350AU,,Federation Alternative Investments II WS,Defensive,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,,,,,,,MF,,,,,,,,,,L7US,,,,,,,,,,,,,,,,,,
ETL6849AU,,Federation Alternative Investments Ret,Defensive,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,,,,,,,MF,,,,,,,,,,RY5L,,,,,,,,,,,,,,,,,,
ETL0379AU,,GAM FCM ILS Yield A,Defensive,Floating Rate,Global Fixed Interest,Alternatives (Growth),Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB0495AU,,Franklin K2 Athena Fund,Growth,Alternatives,Alternatives,Alternatives (Growth),Active Manager,,,,,,,,,MF,,,,,,,,,,ATUGV,,,,,,,,,,,,,,,,,,
JBW0052AU,,Yarra Ex-20 Australian Equities Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,,,,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A200-AU,,Betashares Australia 200,Growth,Australian Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAP-AU,,Vanguard Australia Property Securities ETF,Growth,Real Assets,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJRE-AU,,SPDR Dow Jones Global Real Estate ESG Fund,Growth,Real Assets,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPQ-AU,,Perennial Better Future Fund,Growth,Australian Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWLD-AU,,iShares Core MSCI World ex Australia ESG Leaders ETF,Growth,International Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHI-AU,,BetaShares Global Sustainability Leaders ETF,Growth,International Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIF-AU,,Vanguard International Fixed Income ETF,Defensive,Long Duration,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICH-AU,,Magellen Infrastructure Fund,Growth,Real Assets,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRYP-AU,,BetaShares Crypto Innovators ETF,Growth,Alternatives,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOAT-AU,,VanEyk Morningstar Wide MOAT ETF,Growth,Alternatives,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNRS-AU,,Betashares Global Gold Miners ETF,Growth,Alternatives,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBTZ-AU,,Betashares Global Robotic and AI ETF,Growth,Alternatives,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFL0004AU,,Bennelong ex-20 Australian Equities,Growth,Australian Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL0001AU,,Charter Hall Maxim Property Securities,Growth,Real Assets,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIM5346AU,,Eley Griffiths Group Emerging Companies,Growth,Australian Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FID0021AU,,Fidelity Australian Opportunities ,Growth,Australian Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FID0026AU,,Fidelity Future Leaders,Growth,Australian Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRM0015AU,,Mutual MIF A,Defensive,Floating Rate,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER0072AU,,Perpetual SHARE PLUS Long Short,Growth,Australian Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFL0020AU,,Quay Global Real Estate,Growth,Real Assets,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH0034AU,,Schroder Global Emerging Markets Wholesale,Growth,International Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN0003AU,,Vanguard International Shares Index Fund,Growth,International Shares,,,Passive,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN0102AU,,Vanguard Short Term Fixed Interest,Defensive,Floating Rate,,,Passive,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTA0480AU,BTA0480AU,Bennelong Wholesale Plus ex-20 Australian Equities Fund,Growth,Australian Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IML0002AU,IML0002AU,Investors Mutual WS Australian Shares Fund,Growth,Australian Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER0049AU,PER0049AU,Perpetual Wholesale Australian ,Growth,Australian Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILC-AU,ILC,iShares S&P/ASX 20 ETF,Growth,Australian Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVOL-AU,MVOL,iShares Edge MSCI Australia Minimum Volatility ETF,Growth,Australian Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUMF-AU,AUMF,iShares Edge MSCI Australia Multifactor ETF,Growth,Australian Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHD-AU,IHD,iShares S&P/ASX Dividend Opportunities ETF,Growth,Australian Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO-AU,ISO,iShares S&P/ASX Small Ordinaries ETF,Growth,Australian Shares,,,ETF Index,,,,,,,,,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFS0864AU,WFS0864AU,Antipodes Wholesale Plus Global Fund,Growth,International Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTA0565AU,BTA0565AU,Magellan Wholesale Plus Global Fund,Growth,International Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETL0365AU,ETL0365AU,Paradice Global Small Mid Cap Fund - Unhedged,Growth,International Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUR0617AU,ZUR0617AU,Zurich Investments Concentrated Global Growth ,Growth,International Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUR0619AU,ZUR0619AU,Zurich Investments Concentrated Global Growth Hedged,Growth,International Shares,,,Active Manager,,,,,,,,,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
