1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
1.56,8.57,13.87,4.97,7.19,12.18
1.06,7.49,12.19,3.66,4.68,9.56
0.59,0.59,0.99,2.31,5.54,5.64
