1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
1.29,4.78,8.68,4.56,10.89,13.34
1.17,4.89,9.12,3.92,7.86,10.96
0.59,0.59,0.99,2.31,5.54,5.64
